epoch,accuracy,loss,val_accuracy,val_loss
0,0.8456851840019226,0.5148098468780518,0.9509999752044678,0.18314389884471893
1,0.9197777509689331,0.2757604718208313,0.9643333554267883,0.13531441986560822
2,0.9349444508552551,0.2240745574235916,0.968999981880188,0.11257507652044296
3,0.9419814944267273,0.1947932094335556,0.9725000262260437,0.1008746549487114
4,0.9485926032066345,0.17416812479496002,0.9754999876022339,0.09252645075321198
5,0.951537013053894,0.16046540439128876,0.9746666550636292,0.08658671379089355
6,0.954796314239502,0.14969690144062042,0.9771666526794434,0.08050468564033508
7,0.9568889141082764,0.1403058022260666,0.9775000214576721,0.07834603637456894
8,0.959074079990387,0.13304996490478516,0.9766666889190674,0.07811545580625534
9,0.9606851935386658,0.12741312384605408,0.9785000085830688,0.0768960490822792
